"Concepto","Principal","Monto Documento","Tipo Vista","Fecha Generación","Folio","Título","Número Documento","Fecha Documento","Tipo Documento","Monto Documento"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","13/01/2021","33","FA / 9702 / 76079097 / 2069-10069-CM20 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","9702","11/01/2021","Factura Afecta Electrónica","140.703"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","15/01/2021","82","FA / 9716 / 76079097 / 2069-10069-CM20 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","9716","12/01/2021","Factura Afecta Electrónica","332.010"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","17/02/2021","4794","FA / 9970 / 76079097 / 2069-696-CM21 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIA","9970","02/02/2021","Factura Afecta Electrónica","1.534.296"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","19/02/2021","5742","FA / 10055 / 76079097 / 2069-696-CM21 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTRI","10055","09/02/2021","Factura Afecta Electrónica","50.800"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","09/03/2021","9007","FA / 10353 / 76079097 / 2069-1725-CM21 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","10353","05/03/2021","Factura Afecta Electrónica","1.962.001"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","09/03/2021","9009","FA / 10354 / 76079097 / 2069-1725-CM21 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","10354","05/03/2021","Factura Afecta Electrónica","102.964"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","17/03/2021","10367","FA / 10464 / 76079097 / 2069-1725-CM21 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","10464","15/03/2021","Factura Afecta Electrónica","17.992"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","31/03/2021","13695","FA / 10665 / 76079097 / 2069-2448-CM21 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","10665","30/03/2021","Factura Afecta Electrónica","1.104.421"
"2201001001 Pacientes","76178360-2 CENTRAL RESTAURANTES ARAMARK LTDA.","112.985.968","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","76178360-2 CENTRAL RESTAURANTES ARAMARK LTDA.","112.985.968","Tipo Flujo","24/02/2021","6134","FA / 1148621 / 76178360 / 2069-828-SE21 / CENTRAL DE RESTAURANTES ARAMARK LIMIT","1148621","11/02/2021","Factura Afecta Electrónica","35.914.092"
"2201001001 Pacientes","76178360-2 CENTRAL RESTAURANTES ARAMARK LTDA.","112.985.968","Tipo Flujo","17/03/2021","10137","FA / 1150809 / 76178360 / 2069-2062-SE21 / CENTRAL DE RESTAURANTES ARAMARK LIMI","1150809","09/03/2021","Factura Afecta Electrónica","38.842.525"
"2201001001 Pacientes","76178360-2 CENTRAL RESTAURANTES ARAMARK LTDA.","112.985.968","Tipo Flujo","31/03/2021","14201","FA / 1153013 / 76178360 / 2069-2761-SE21 / CENTRAL DE RESTAURANTES ARAMARK LIMI","1153013","31/03/2021","Factura Afecta Electrónica","38.229.351"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","26/01/2021","321","FA / 38063 / 76299358 / 2069-10070-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","38063","13/01/2021","Factura Afecta Electrónica","1.174.070"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","28/01/2021","689","FA / 38102 / 76299358 / 2069-9133-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","38102","14/01/2021","Factura Afecta Electrónica","495.000"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","31/01/2021","2595","FA / 37905 / 76299358 / 2069-9133-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","37905","04/01/2021","Factura Afecta Electrónica","396.000"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","19/02/2021","5577","FA / 38372 / 76299358 / 2069-10084-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","38372","28/01/2021","Factura Afecta Electrónica","247.500"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","19/02/2021","5579","FA / 38464 / 76299358 / 2069-10084-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","38464","01/02/2021","Factura Afecta Electrónica","247.500"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","19/02/2021","5580","FA / 38463 / 76299358 / 2069-697-CM21 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","38463","01/02/2021","Factura Afecta Electrónica","577.619"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","24/02/2021","6273","FA / 38682 / 76299358 / 2069-10084-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","38682","11/02/2021","Factura Afecta Electrónica","247.500"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","08/03/2021","8738","FA / 39141 / 76299358 / 2069-10084-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39141","03/03/2021","Factura Afecta Electrónica","495.000"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","10/03/2021","9148","FA / 39227 / 76299358 / 2069-1722-CM21 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39227","08/03/2021","Factura Afecta Electrónica","231.200"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","10/03/2021","9159","FA / 39264 / 76299358 / 2069-10084-CM20 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39264","09/03/2021","Factura Afecta Electrónica","495.000"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","10/03/2021","9163","FA / 39237 / 76299358 / 2069-1722-CM21 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39237","08/03/2021","Factura Afecta Electrónica","289.698"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","17/03/2021","10131","FA / 39254 / 76299358 / 2069-1722-CM21 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39254","09/03/2021","Factura Afecta Electrónica","78.950"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","31/03/2021","14726","FA / 39731 / 76299358 / 2069-2449-CM21 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39731","30/03/2021","Factura Afecta Electrónica","203.201"
"2201001001 Pacientes","76299358-9 SERVICIOS INTEGRADOS SIDAPT LTDA","5.257.188","Tipo Flujo","31/03/2021","14836","FA / 39753 / 76299358 / 2069-2449-CM21 / SERVICIOS INTEGRADOS SIDAPT LIMITADA","39753","30/03/2021","Factura Afecta Electrónica","78.950"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","31/01/2021","1254","FA / 2104 / 76473625-7 / 2069-10063-CM20 / AMI SPA","2104","13/01/2021","Factura Afecta Electrónica","403.499"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","31/01/2021","2782","FA / 2080 / 76473625 / 2069-9928-CM20 / AMI SPA","2080","29/12/2020","Factura Afecta Electrónica","1.195.998"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","16/02/2021","4469","FA / 2161 / 76473625-7 / 2069-646-CM21 / AMI SPA","2161","27/01/2021","Factura Afecta Electrónica","1.317.499"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","22/02/2021","5786","FA / 2183 / 76473625 / 2069-646-CM21 / AMI SPA","2183","02/02/2021","Factura Afecta Electrónica","411.457"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","28/02/2021","7121","FA / 2233 / 76473625 / 2069-1726-CM21 / AMI SPA","2233","25/02/2021","Factura Afecta Electrónica","1.097.599"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","09/03/2021","8864","FA / 2257 / 76473625 / 2069-1726-CM21 / AMI SPA","2257","03/03/2021","Factura Afecta Electrónica","579.850"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","30/03/2021","13327","FA / 2304 / 76473625 / 2069-2410-CM21 / AMI SPA","2304","23/03/2021","Factura Afecta Electrónica","250.509"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","31/03/2021","14465","FA / 2294 / 76473625-7 / 2069-2410-CM21 / AMI SPA","2294","22/03/2021","Factura Afecta Electrónica","250.513"
"2201001001 Pacientes","76473625-7 DISTRIBUIDORA Y COMERCIALIZADORA DICOTEM SPA","9.654.552","Tipo Flujo","31/03/2021","14548","FA / 2336 / 76473625 / 2069-2252-CM21 / AMI SPA","2336","31/03/2021","Factura Afecta Electrónica","4.147.628"
"2201001001 Pacientes","76698399-5 JAVIER ESCALANTE SANCHEZ","539.420","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","76698399-5 JAVIER ESCALANTE SANCHEZ","539.420","Tipo Flujo","17/02/2021","4846","FA / 1249 / 76698399 / 2069-1013-CM21 / COMERCIAL MARCO SERVICES SPA","1249","03/02/2021","Factura Afecta Electrónica","539.420"
"2201001001 Pacientes","77478120-K FRESENIUS KABI CHILE LTDA.","695.912","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","77478120-K FRESENIUS KABI CHILE LTDA.","695.912","Tipo Flujo","29/01/2021","908","FA / 1149133 / 77478120-K / 2069-10022-SE20 / Fresenius Kabi Chile Ltda.","1149133","24/12/2020","Factura Afecta Electrónica","695.912"
"2201001001 Pacientes","77872090-6 COMERCIAL GENERAL BIOTEC CHILE LTDA.","242.760","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","77872090-6 COMERCIAL GENERAL BIOTEC CHILE LTDA.","242.760","Tipo Flujo","11/03/2021","9242","FA / 12890 / 77872090 / 2069-1773-SE21 / COMERCIAL GENERAL BIOTEC CHILE SPA","12890","04/03/2021","Factura Afecta Electrónica","242.760"
"2201001001 Pacientes","78961140-8 SOC. PANIFICADORA SANTA GEMA","11.376.464","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","78961140-8 SOC. PANIFICADORA SANTA GEMA","11.376.464","Tipo Flujo","31/01/2021","2591","FA / 11661 / 78961140-8 / 2069-9290-CM20 / Sociedad Panificadora Santa Gema.","11661","31/12/2020","Factura Afecta Electrónica","2.920.919"
"2201001001 Pacientes","78961140-8 SOC. PANIFICADORA SANTA GEMA","11.376.464","Tipo Flujo","28/02/2021","6953","FA / 11927 / 78961140 / 2069-23-CM21 / SOC PANIFICADORA SANTA GEMA LTDA","11927","15/02/2021","Factura Afecta Electrónica","2.890.743"
"2201001001 Pacientes","78961140-8 SOC. PANIFICADORA SANTA GEMA","11.376.464","Tipo Flujo","28/02/2021","9108","FA / 12086 / 78961140 / 2069-793-CM21 / SOC PANIFICADORA SANTA GEMA LTDA","12086","28/02/2021","Factura Afecta Electrónica","2.684.873"
"2201001001 Pacientes","78961140-8 SOC. PANIFICADORA SANTA GEMA","11.376.464","Tipo Flujo","31/03/2021","15155","FA / 12290 / 78961140 / 2069-2071-CM21 / SOC PANIFICADORA SANTA GEMA LTDA","12290","31/03/2021","Factura Afecta Electrónica","2.879.929"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","26/01/2021","223","FA / 45746 / 79715730 / 2069-32-CM21 / COMERCIAL SAN PABLO LIMITADA","45746","18/01/2021","Factura Afecta Electrónica","447.698"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","26/01/2021","225","FA / 45753 / 79715730 / 2069-32-CM21 / COMERCIAL SAN PABLO LIMITADA","45753","18/01/2021","Factura Afecta Electrónica","780.400"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","28/01/2021","685","FA / 45591 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45591","12/01/2021","Factura Afecta Electrónica","1.460.727"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","1544","FA / 45740 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45740","18/01/2021","Factura Afecta Electrónica","2.012.637"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","1736","FA / 45420 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45420","31/12/2020","Factura Afecta Electrónica","3.419.429"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","1737","FA / 45428 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45428","31/12/2020","Factura Afecta Electrónica","1.880.287"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","1784","FA / 45424 / 79715730 / 2069-7594-CM20 / COMERCIAL SAN PABLO LIMITADA","45424","31/12/2020","Factura Afecta Electrónica","299.220"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","2350","FA / 45313 / 79715730 / 2069-7594-CM20 / COMERCIAL SAN PABLO LIMITADA","45313","29/12/2020","Factura Afecta Electrónica","299.220"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","2357","FA / 45305 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45305","29/12/2020","Factura Afecta Electrónica","3.531.367"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/01/2021","2363","FA / 45311 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45311","29/12/2020","Factura Afecta Electrónica","3.316.112"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/02/2021","4724","FA / 46045 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46045","30/01/2021","Factura Afecta Electrónica","1.105.026"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/02/2021","4727","FA / 46052 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","46052","30/01/2021","Factura Afecta Electrónica","1.274.799"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/02/2021","4858","FA / 45988 / 79715730 / 2069-8638-CM20 / COMERCIAL SAN PABLO LIMITADA","45988","28/01/2021","Factura Afecta Electrónica","1.676.567"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/02/2021","4924","FA / 46084 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46084","31/01/2021","Factura Afecta Electrónica","1.845.641"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/02/2021","4966","FA / 46049 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46049","30/01/2021","Factura Afecta Electrónica","1.863.935"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/02/2021","5063","FA / 45986 / 79715730 / 2069-32-CM21 / COMERCIAL SAN PABLO LIMITADA","45986","28/01/2021","Factura Afecta Electrónica","2.023.052"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","18/02/2021","5294","FA / 46046 / 79715730 / 2069-32-CM21 / COMERCIAL SAN PABLO LIMITADA","46046","30/01/2021","Factura Afecta Electrónica","490.804"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","19/02/2021","5647","FA / 45592 / 79715730 / 2069-32-CM21 / COMERCIAL SAN PABLO LIMITADA","45592","12/01/2021","Factura Afecta Electrónica","898.180"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","19/02/2021","5677","FA / 40444 / 79715730-9 / 2069-10982-CM19 / comercial san pablo ltda.","40444","13/04/2020","Factura Afecta Electrónica","594.137"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","19/02/2021","5678","FA / 41733 / 79715730 / 2069-6299-CM19 / COMERCIAL SAN PABLO LIMITADA","41733","30/06/2020","Factura Afecta Electrónica","60.296"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","23/02/2021","6029","CP DEVENGA FACT N° 42504 COMERCIAL SAN PABLO ENERO 2021","42504","22/02/2021","Documento de Negocio","21.576"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","23/02/2021","6035","FA / 46354 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46354","12/02/2021","Factura Afecta Electrónica","1.433.493"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","28/02/2021","7032","FA / 46572 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46572","22/02/2021","Factura Afecta Electrónica","3.343.318"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","28/02/2021","7155","FA / 46500 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46500","18/02/2021","Factura Afecta Electrónica","3.658.468"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","28/02/2021","8862","FA / 46793 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46793","28/02/2021","Factura Afecta Electrónica","1.745.732"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","28/02/2021","8865","FA / 46791 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","46791","28/02/2021","Factura Afecta Electrónica","3.902.334"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","17/03/2021","10126","FA / 47012 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","47012","09/03/2021","Factura Afecta Electrónica","1.427.936"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/03/2021","13614","FA / 47257 / 79715730-9 / 2069-8638-CM20 / comercial san pablo ltda.","47257","17/03/2021","Factura Afecta Electrónica","752.460"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/03/2021","13615","FA / 47258 / 79715730-9 / 2069-6312-CM20 / comercial san pablo ltda.","47258","17/03/2021","Factura Afecta Electrónica","482.090"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/03/2021","13867","FA / 47398 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","47398","24/03/2021","Factura Afecta Electrónica","3.469.446"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/03/2021","13873","FA / 47397 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","47397","24/03/2021","Factura Afecta Electrónica","3.544.486"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/03/2021","14992","FA / 47520 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","47520","31/03/2021","Factura Afecta Electrónica","3.366.214"
"2201001001 Pacientes","79715730-9 COMERCIAL SAN PABLO","59.847.735","Tipo Flujo","31/03/2021","15158","FA / 47589 / 79715730 / 2069-688-CM21 / COMERCIAL SAN PABLO LIMITADA","47589","31/03/2021","Factura Afecta Electrónica","3.420.648"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","26/01/2021","334","FA / 4915 / 8093157 / 2069-26-CM21 / JAIME ALFONSO GONZALEZ PAREDES","4915","08/01/2021","Factura Afecta Electrónica","1.205.501"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","28/01/2021","682","FA / 4922 / 8093157 / 2069-5808-CM20 / JAIME ALFONSO GONZALEZ PAREDES","4922","12/01/2021","Factura Afecta Electrónica","50.664"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","28/01/2021","683","FA / 4910 / 8093157-3 / 2069-5808-CM20 / apolo 8","4910","05/01/2021","Factura Afecta Electrónica","75.996"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","31/01/2021","2436","FA / 4927 / 8093157-3 / 2069-9930-CM20 / apolo 8","4927","15/01/2021","Factura Afecta Electrónica","1.813.638"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","31/01/2021","2438","FA / 4928 / 8093157-3 / 2069-10011-CM20 / apolo 8","4928","15/01/2021","Factura Afecta Electrónica","1.913.342"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","31/01/2021","2764","FA / 4888 / 8093157 / 2069-5808-CM20 / JAIME ALFONSO GONZALEZ PAREDES","4888","29/12/2020","Factura Afecta Electrónica","75.996"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","31/01/2021","2765","FA / 4830 / 8093157 / 2069-5808-CM20 / JAIME ALFONSO GONZALEZ PAREDES","4830","14/12/2020","Factura Afecta Electrónica","75.996"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","31/01/2021","2912","FA / 4815 / 8093157 / 2069-5808-CM20 / JAIME ALFONSO GONZALEZ PAREDES","4815","11/12/2020","Factura Afecta Electrónica","50.664"
"2201001001 Pacientes","8093157-3 JAIME GONZALEZ PAREDES","30.482.332","Tipo Flujo","31/01/2021","2919","FA / 4866 / 8093157 / 2069-5808-CM20 / JAIME ALFONSO GONZALEZ PAREDES","4866","22/12/2020","Factura Afecta Electrónica","151.992"
